,Median affinity
Pocket_69,-6.65
Pocket_67,-6.5
Pocket_73,-6.25
Pocket_42,-6.15
Pocket_66,-6.0
Pocket_61,-5.85
Pocket_60,-5.75
Pocket_76,-5.699999999999999
Pocket_64,-5.699999999999999
Pocket_59,-5.6
Pocket_72,-5.5
Pocket_49,-5.35
Pocket_10,-5.2
Pocket_14,-5.15
Pocket_44,-5.15
Pocket_28,-5.1
Pocket_54,-5.0
Pocket_53,-5.0
Pocket_70,-4.949999999999999
Pocket_47,-4.9
Pocket_52,-4.85
Pocket_1,-4.85
Pocket_55,-4.800000000000001
Pocket_45,-4.800000000000001
Pocket_75,-4.8
Pocket_74,-4.75
Pocket_56,-4.699999999999999
Pocket_21,-4.65
Pocket_33,-4.65
Pocket_12,-4.5
Pocket_37,-4.5
Pocket_25,-4.45
Pocket_68,-4.45
Pocket_2,-4.4
Pocket_3,-4.4
Pocket_71,-4.4
Pocket_41,-4.4
Pocket_63,-4.4
Pocket_23,-4.35
Pocket_31,-4.35
Pocket_6,-4.35
Pocket_62,-4.300000000000001
Pocket_40,-4.3
Pocket_39,-4.199999999999999
Pocket_43,-4.0
Pocket_32,-3.9
Pocket_57,-3.9
Pocket_24,-3.85
Pocket_17,-3.8
Pocket_22,-3.8
Pocket_34,-3.75
Pocket_48,-3.75
Pocket_19,-3.75
Pocket_36,-3.7
Pocket_27,-3.55
Pocket_4,-3.5
Pocket_30,-3.45
Pocket_20,-3.45
Pocket_38,-3.3499999999999996
Pocket_26,-2.75
Pocket_13,-2.7
Pocket_58,-2.6
Pocket_51,-2.55
Pocket_18,-2.5
Pocket_29,-2.0
Pocket_35,-1.5
Pocket_46,0.5999999999999999
Pocket_9,5.0
Pocket_65,5.2
Pocket_50,6.449999999999999
Pocket_16,27.6
Pocket_7,34.55
Pocket_5,inf
Pocket_8,inf
Pocket_15,inf
Pocket_11,inf
