,Allicin,Apigenin,Caffeine,Carvacrol,Carvone,Catechins,curcumin,Withaferin_A
Pocket_1,-3.7,-6.0,-3.8,-4.4,-4.2,-5.5,-5.4,-5.3
Pocket_2,-3.7,-5.6,-4.4,-4.5,-4.4,-5.4,-4.3,-4.0
Pocket_3,-3.3,-5.6,-4.4,-4.4,-4.4,-5.0,-3.7,-5.9
Pocket_4,-3.1,-4.5,-3.3,-4.4,-3.7,-4.6,-1.8,2.8
Pocket_5,4.8,brak,13.1,7.0,6.8,brak,brak,brak
Pocket_6,-3.6,-5.5,-4.1,-4.4,-4.1,-4.8,-4.3,-5.6
Pocket_7,0.6,brak,9.3,2.0,1.4,59.8,111.9,brak
Pocket_8,4.7,brak,11.9,5.6,6.8,brak,brak,brak
Pocket_9,-3.1,brak,-2.3,-3.8,-4.6,12.3,46.1,brak
Pocket_10,-3.8,-7.1,-5.0,-5.0,-4.6,-6.1,-5.4,-6.1
Pocket_11,7.3,brak,22.2,9.4,5.8,brak,brak,brak
Pocket_12,-3.8,-5.7,-4.4,-4.9,-4.6,-5.5,-3.0,1.7
Pocket_13,-3.4,1.2,-4.3,-4.0,-3.9,-2.0,2.2,36.6
Pocket_14,-3.7,-6.5,-5.2,-5.1,-4.6,-6.8,-5.2,-3.3
Pocket_15,7.0,brak,23.8,9.3,5.8,brak,brak,brak
Pocket_16,0.3,brak,9.0,1.4,1.1,46.2,71.0,brak
Pocket_17,-3.3,-5.0,-3.8,-3.9,-3.8,-4.3,-2.3,-1.2
Pocket_18,-3.3,5.8,-3.8,-4.5,-4.2,-1.7,4.7,65.0
Pocket_19,-3.1,-4.0,-4.0,-3.8,-3.7,-4.1,-3.0,0.8
Pocket_20,-3.4,0.7,-4.2,-4.0,-3.9,-3.5,0.8,34.4
Pocket_21,-3.7,-2.3,-5.1,-5.0,-4.8,-5.4,-4.5,10.2
Pocket_22,-3.0,-3.9,-4.1,-3.8,-3.8,-4.7,-0.0,5.8
Pocket_23,-3.4,-6.0,-4.5,-4.6,-4.2,-5.8,-4.1,-2.1
Pocket_24,-3.2,-4.5,-4.0,-4.1,-3.7,-4.6,-1.5,-0.8
Pocket_25,-3.4,-5.5,-4.0,-4.0,-4.0,-4.9,-5.6,-6.6
Pocket_26,-2.7,36.6,-4.0,-3.6,-3.4,-2.8,32.1,brak
Pocket_27,-3.3,-5.2,-3.5,-3.9,-3.6,-4.4,-3.2,2.1
Pocket_28,-3.8,-6.5,-5.1,-5.1,-4.6,-6.8,-5.4,-3.5
Pocket_29,-3.3,8.3,-3.7,-4.5,-4.2,-0.7,3.4,127.4
Pocket_30,-3.2,-5.1,-3.3,-3.8,-3.6,-4.5,-0.5,2.6
Pocket_31,-3.1,-5.4,-4.1,-4.7,-3.9,-4.8,-4.6,2.9
Pocket_32,-3.2,-3.7,-4.2,-4.1,-3.7,-4.5,-4.4,1.4
Pocket_33,-3.7,-5.5,-4.4,-4.7,-4.6,-5.5,-5.0,1.3
Pocket_34,-2.9,-3.9,-4.1,-3.8,-3.7,-4.5,-2.4,7.1
Pocket_35,-3.2,4.0,-1.2,-4.0,-2.9,-1.8,13.6,48.5
Pocket_36,-3.2,-5.5,-3.8,-4.0,-3.6,-5.6,-3.3,-2.5
Pocket_37,-3.4,-5.4,-4.0,-4.0,-4.0,-5.0,-5.4,-6.6
Pocket_38,-3.1,-5.0,-3.3,-3.8,-3.4,-4.3,-0.9,6.5
Pocket_39,-3.3,-5.6,-3.9,-4.5,-4.3,-4.7,-4.1,-2.8
Pocket_40,-3.1,-5.3,-4.0,-4.7,-3.9,-4.8,-4.6,5.5
Pocket_41,-3.2,-5.5,-3.9,-4.4,-4.4,-4.6,-4.4,-2.1
Pocket_42,-5.1,-8.2,-5.9,-6.4,-5.5,-6.8,-7.8,-2.2
Pocket_43,-3.2,-5.3,-3.6,-4.1,-3.9,-4.5,-4.2,-3.6
Pocket_44,-4.0,-6.4,-4.8,-5.3,-5.0,-6.2,-5.9,0.9
Pocket_45,-4.1,-1.3,-4.9,-5.5,-5.2,-4.7,-5.8,15.0
Pocket_46,-3.6,23.0,-4.4,-4.6,-5.2,4.8,15.8,133.8
Pocket_47,-3.7,-5.7,-5.2,-5.0,-4.8,-6.3,-4.6,7.1
Pocket_48,-3.1,-4.2,-4.0,-3.8,-3.7,-4.1,-3.7,-0.6
Pocket_49,-3.8,-7.1,-5.0,-5.0,-4.6,-6.0,-5.7,-5.9
Pocket_50,-2.6,brak,-0.8,-2.6,-3.1,13.7,58.7,brak
Pocket_51,-3.4,brak,-3.7,-3.8,-4.1,-1.7,12.7,brak
Pocket_52,-4.2,-6.7,-4.4,-5.2,-4.5,-6.7,-6.7,-3.3
Pocket_53,-3.6,-5.9,-5.2,-4.8,-4.5,-6.0,-5.3,-4.4
Pocket_54,-3.7,-5.9,-5.3,-5.0,-5.0,-6.2,-4.7,-3.3
Pocket_55,-3.4,-6.4,-4.7,-4.9,-4.9,-5.3,-2.5,3.3
Pocket_56,-4.1,-6.7,-4.2,-5.1,-4.3,-6.5,-6.6,-0.3
Pocket_57,-3.5,-4.0,-3.8,-4.0,-3.4,-4.5,-4.1,12.9
Pocket_58,-3.2,brak,-3.6,-3.8,-4.1,-2.0,16.3,brak
Pocket_59,-4.2,-6.5,-5.2,-5.5,-4.9,-6.4,-5.7,-6.8
Pocket_60,-4.2,-6.7,-5.2,-5.5,-4.9,-6.4,-6.0,-7.4
Pocket_61,-3.8,-7.6,-5.2,-5.4,-4.6,-6.6,-6.3,-8.7
Pocket_62,-3.6,-5.5,-4.4,-4.5,-4.2,-5.4,-4.0,-1.1
Pocket_63,-3.4,-6.0,-4.6,-4.6,-4.2,-5.9,-4.1,-2.8
Pocket_64,-4.2,-6.9,-5.1,-5.0,-4.6,-6.3,-7.6,-8.4
Pocket_65,-2.6,brak,-1.2,-2.7,-3.1,11.6,28.0,brak
Pocket_66,-3.6,-7.6,-5.1,-5.5,-4.7,-6.5,-7.1,-8.7
Pocket_67,-5.1,-8.3,-5.9,-6.4,-5.5,-6.9,-7.6,-6.6
Pocket_68,-3.7,-5.9,-4.4,-4.5,-4.2,-5.5,-4.7,-1.8
Pocket_69,-4.5,-9.1,-5.8,-5.8,-5.8,-8.0,-8.2,-7.5
Pocket_70,-3.5,-5.5,-4.6,-4.5,-4.2,-5.3,-5.3,-5.4
Pocket_71,-3.0,-6.1,-3.5,-4.3,-4.0,-4.5,-5.3,-6.7
Pocket_72,-3.6,-5.7,-5.3,-4.7,-4.5,-6.1,-5.7,-5.9
Pocket_73,-4.4,-9.0,-5.6,-5.7,-5.3,-7.6,-8.1,-6.8
Pocket_74,-3.5,-6.2,-4.7,-4.8,-4.9,-5.0,-2.0,2.3
Pocket_75,-3.3,-5.7,-4.5,-4.4,-4.2,-5.3,-5.1,-5.3
Pocket_76,-4.2,-7.2,-5.1,-4.9,-4.7,-6.3,-7.7,-8.8
